CMDLINE /Users/ashleyculver/anaconda3/bin/python time_memory.py
MEM 0.089844 1572382823.7640
MEM 12.496094 1572382823.8643
MEM 21.636719 1572382823.9648
MEM 32.234375 1572382824.0678
